Person,Party,State,Event,Type,Date,Link,Snippet
Rand Paul,Republican,IA,Rod Blum Fundraiser,fundraiser (other),14-Nov,http://features.desmoinesregister.com/news/politics/candidate-tracker/,"Event for 1st District U.S. House candidate Rod Blum, a Republican who went on to win the race to replace Democratic U.S. Rep. Bruce Braley in the left-leaning district. Sponsored by Rod Blum."
Rand Paul,Republican,IA,MobileDemand Tech Company Tour,public appearance,14-Nov,http://features.desmoinesregister.com/news/politics/candidate-tracker/,"Tour and small business roundtable at MobileDemand, a technology company, with 1st District U.S. House candidate Rod Blum, who went on to win the race in the left-leaning district."
Rand Paul,Republican,IA,University Speeech - College Republicans,speech,14-Nov,http://features.desmoinesregister.com/news/politics/candidate-tracker/,"He stopped by the campus of one of Iowa's major universities for an event with the College Republicans and GOP U.S. Senate candidate Joni Ernst, who later won."
Ben Carson,Republican,IA,Family Leader's “Celebrate the Family” fundraising dinner.,speech,22-Nov,http://features.desmoinesregister.com/news/politics/candidate-tracker/,Keynote speaker for the Family Leader's “Celebrate the Family” fundraising dinner. Sponsored by The Family Leader.
Jim Webb,Democratic,IA,"""Veterans to veterans"" phone bank",public appearance,25-Nov,http://features.desmoinesregister.com/news/politics/candidate-tracker/,"Webb participated in a ""Veterans to veterans"" phone bank at the Democratic Coordinated Campaign Office."
Bobby Jindal,Republican,IA,Polk County GOP Holiday Victory Party,speech,25-Nov,http://features.desmoinesregister.com/news/politics/candidate-tracker/,Jindal was booked to headline the Polk County GOP Holiday Victory Party. It marked his his fourth trip to Iowa this year. Sponsored by Polk County Republican Party.
Bernie Sanders,Democratic,IA,Breakfast Meeting,public appearance,16-Dec,http://www.p2016.org/chrniowa/iavisits14.html#dhttp://www.p2016.org/chrniowa/iavisits14.html#d,On December 16 he started with a breakfast meeting with local residents at Drake Diner
Bernie Sanders,Democratic,IA,Town Hall,speech,16-Dec,http://features.desmoinesregister.com/news/politics/candidate-tracker/,A town meeting at noon with ISU students and the greater Ames community. Sponsored by United States Student Association and the Iowa Citizens for Community Improvement Action Fund.
Bernie Sanders,Democratic,IA,Progress Iowa's 2014 Holiday Party,speech,16-Dec,http://www.p2016.org/chrniowa/iavisits14.html#dhttp://www.p2016.org/chrniowa/iavisits14.html#d,the keynote speaker at Progress Iowa's 2014 Holiday Party at the Meadows Events and Conference Center in Altoona
Bernie Sanders,Democratic,IA,Meet local people,meeting,16-Dec,http://www.p2016.org/chrniowa/iavisits14.html#d,"Also on Tuesday he met ""with groups of Iowans including labor unions, environmentalists, women’s rights groups, immigration reform activists, grassroots progressive groups and other organizations."""
